window,fft_size,length,bin_step_bins,worst_underread_db,worst_overread_db,worst_abs_bias_db,rms_bias_db,mean_abs_bias_db,p95_abs_bias_db,enbw_bins,scalloping_loss_db,main_lobe_width_bins
blackman,256,129,0.50390625,0.2730946764694073,1.928654933106574e-15,0.2730946764694073,0.12210160389790478,0.0909793487462401,0.24642086594113943,1.740247661564626,1.0817746311954988,6.046875
blackman,512,129,0.251953125,0.06817360801137543,1.928654933106574e-15,0.06817360801137543,0.030493446769255535,0.022724840574870137,0.06152375525093317,1.740247661564626,1.0817746311954988,6.046875
blackman,1024,129,0.1259765625,0.01703717122291378,1.928654933106574e-15,0.01703717122291378,0.0076213703953012185,0.005679963645594374,0.01537586441102594,1.740247661564626,1.0817746311954988,6.046875
blackman,2048,129,0.06298828125,0.004258903740264821,1.928654933106574e-15,0.004258903740264821,0.001905218233661835,0.0014199130564837808,0.003843649215979715,1.740247661564626,1.0817746311954988,6.046875
blackman,4096,129,0.031494140625,0.0010647016240648793,1.928654933106574e-15,0.0010647016240648793,0.00047629678701143895,0.000354973398988047,0.0009608925026826162,1.740247661564626,1.0817746311954988,6.046875
blackman-harris,256,129,0.50390625,0.2057811394575968,0.0,0.2057811394575968,0.09203089649880104,0.06858088719909887,0.18569955843199965,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,512,129,0.251953125,0.05140715027662251,0.0,0.05140715027662251,0.022995539875282845,0.017137595556303085,0.046393836319771446,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,1024,129,0.1259765625,0.012849408619127792,0.0,0.012849408619127792,0.005748124584822345,0.004283922886445251,0.011596521528145195,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,2048,129,0.06298828125,0.0032122035399456675,0.0,0.0032122035399456675,0.0014369836398500384,0.001070950981389674,0.0028990093361678203,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,4096,129,0.031494140625,0.0008030415976450719,0.0,0.0008030415976450719,0.0003592429410905158,0.0002677358867383319,0.0007247447694741125,2.0200066670005885,0.8127833430614497,8.0782470703125
flattop,256,129,0.50390625,4.821637332766436e-15,0.002309529701686721,0.002309529701686721,0.001251959601103546,0.0009884510841550718,0.0022277770328310714,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,512,129,0.251953125,4.821637332766436e-15,0.0008853456175612869,0.0008853456175612869,0.0004094221241220392,0.00030900244036770336,0.0008081397937009326,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,1024,129,0.1259765625,4.821637332766436e-15,0.00024079724156242662,0.00024079724156242662,0.00010855359822149219,8.114932085613964e-05,0.0002178916295940265,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,2048,129,0.06298828125,4.821637332766436e-15,6.141898998379365e-05,6.141898998379365e-05,2.752796082557764e-05,2.0531483110915185e-05,5.5466433714216045e-05,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,4096,129,0.031494140625,4.821637332766436e-15,1.5431030427167457e-05,1.5431030427167457e-05,6.906370514074185e-06,5.148137909150907e-06,1.3928742753058273e-05,3.7998174877405715,0.009125678278112163,10.2198486328125
