name,label,hop,overlap_label,mix,relative_constant_rmse,rms_noise_gain,worst_noise_gain,energy_ratio,exact_rmse,exact_max_abs_error,flatness_gap_fraction,noise_ratio_to_canonical,energy_ratio_to_canonical
hann,Hann,64,50% overlap,0.0,0.6495782822520606,1.1964062813530656,1.431469564552444,1.9235450155151401,5.048145287663061e-17,2.220446049250313e-16,1.0,1.0,1.0
hann,Hann,64,50% overlap,0.25,0.4407054275108424,1.2120785038642008,1.431497410733412,1.9742697148535322,5.862371151413219e-17,2.220446049250313e-16,0.6769081327904112,1.0130994151028787,1.0263704248817944
hann,Hann,64,50% overlap,0.5,0.26822508365164455,1.257924174159756,1.4315809460264404,2.126443812868709,5.047922176499972e-17,2.220446049250313e-16,0.4101094794974172,1.0514188982166803,1.105481699527178
hann,Hann,64,50% overlap,0.75,0.12340051588352613,1.3308286047716833,1.4317201606838015,2.3800673095606695,5.424388395051714e-17,2.220446049250313e-16,0.18608975191723343,1.1123550799704878,1.23733382393615
hann,Hann,64,50% overlap,1.0,0.0030969686084616295,1.4266495510666952,1.4319150384655999,2.735140204929415,4.999891767632484e-17,2.220446049250313e-16,0.0,1.1924457212421502,1.4219267981087116
hann,Hann,32,75% overlap,0.0,0.7154092059858832,0.8197048583651744,0.8198616419513328,0.4514711549496915,5.0629143602564506e-17,2.220446049250313e-16,1.0,1.0,1.0
hann,Hann,32,75% overlap,0.25,0.4756914410121068,0.8327120461118611,0.8327861601236417,0.46591284526348914,4.679563011158982e-17,2.220446049250313e-16,0.6646245544122998,1.0158681354806514,1.031988068684935
hann,Hann,32,75% overlap,0.5,0.2848190369710399,0.870568344517992,0.870638372771309,0.5092379162048822,4.4302069422303974e-17,2.220446049250313e-16,0.39758586596686457,1.0620509755843832,1.1279522747397401
hann,Hann,32,75% overlap,0.75,0.12924363449084456,0.9302449822699694,0.9305488797680135,0.5814463677738705,4.908155812377654e-17,2.220446049250313e-16,0.1799291981976275,1.1348535668377726,1.287892618164415
hann,Hann,32,75% overlap,1.0,0.0006348594212341055,1.0078734074400304,1.0084618365269902,0.6825381999704543,5.059555822616634e-17,2.220446049250313e-16,0.0,1.2295564643231967,1.5118090989589605
blackman-harris,Blackman-Harris,64,50% overlap,0.0,0.8815978533028581,1.9055497660818979,3.3296326084404533,7.093471486840242,5.066951308534521e-17,2.220446049250313e-16,1.0,1.0,1.0
blackman-harris,Blackman-Harris,64,50% overlap,0.25,0.6122866180109611,1.939573368121797,3.32977007321006,7.34904084272028,5.535660026777672e-17,2.220446049250313e-16,0.582595067073449,1.0178550057550357,1.036028812740584
blackman-harris,Blackman-Harris,64,50% overlap,0.5,0.4204991544919532,2.0382393549985736,3.330182433472886,8.11574891036039,5.099951814739724e-17,2.220446049250313e-16,0.2853440695072384,1.0696332319829704,1.144115250962335
blackman-harris,Blackman-Harris,64,50% overlap,0.75,0.2942948504820328,2.192839338580869,3.33086958713309,9.393595689760575,5.568962818552133e-17,2.220446049250313e-16,0.08974027676830304,1.1507646651966914,1.3242593146652535
blackman-harris,Blackman-Harris,64,50% overlap,1.0,0.2363940858157916,2.392554898015023,3.331831364171308,11.182581180920831,5.981730457880512e-17,3.3306690738754696e-16,0.0,1.25557198274306,1.576461003849339
blackman-harris,Blackman-Harris,32,75% overlap,0.0,1.0079329778709083,0.9893421678593498,1.0216362275340403,0.9560514859405709,5.104164331491962e-17,2.220446049250313e-16,1.0,1.0,1.0
blackman-harris,Blackman-Harris,32,75% overlap,0.25,0.6028392751684353,1.0202682211056557,1.049682507896321,1.0167565060455988,5.846218181701332e-17,2.220446049250313e-16,0.5980889209523947,1.0312592086448928,1.0634955554148904
blackman-harris,Blackman-Harris,32,75% overlap,0.5,0.33420316487762186,1.107878692221528,1.129651152039462,1.1988715663606824,5.069110878531087e-17,2.220446049250313e-16,0.3315633535642717,1.1198134762805643,1.2539822216595617
blackman-harris,Blackman-Harris,32,75% overlap,0.75,0.14301411669673608,1.2402184429147107,1.251629200351169,1.502396666885822,5.4976322118478724e-17,2.220446049250313e-16,0.14187638449059695,1.2535788761518016,1.5714599987340143
blackman-harris,Blackman-Harris,32,75% overlap,1.0,1.4252011423191252e-05,1.4047017517608567,1.4047153295192516,1.9273318076210169,5.389358862872217e-17,2.220446049250313e-16,0.0,1.419834105322959,2.015928886638247
flattop,Flat-top,64,50% overlap,0.0,6.897360895405946,6.9099200957686815,14.178002799012031,137.321916600626,4.968452578197162e-17,2.220446049250313e-16,1.0,1.0,1.0
flattop,Flat-top,64,50% overlap,0.25,5.241577538679068,6.922158837031384,14.184135484930868,137.80879220894627,6.456560827910077e-17,3.3306690738754696e-16,0.5698935534920572,1.0017711841950527,1.0035455054835585
flattop,Flat-top,64,50% overlap,0.5,4.224325126734062,6.958745912205961,14.202517654033077,139.26941903390704,7.149905657734562e-17,3.3306690738754696e-16,0.3056519675830191,1.0070660464608234,1.0141820219342335
flattop,Flat-top,64,50% overlap,0.75,3.5388095787086766,7.019300595256076,14.23310184547035,141.7037970755084,8.718826018888136e-17,3.3306690738754696e-16,0.12758238185533852,1.0158294883256862,1.0319095493520254
flattop,Flat-top,64,50% overlap,1.0,3.0476549210587325,7.103209942895472,14.275809635397422,145.11192633375026,1.0082718979434022e-16,4.440892098500626e-16,0.0,1.0279728049598074,1.056728087736934
flattop,Flat-top,32,75% overlap,0.0,1.5676368017457536,1.2679069122405975,1.6093292292362782,2.3117376642263823,5.4035853443208185e-17,2.220446049250313e-16,1.0,1.0,1.0
flattop,Flat-top,32,75% overlap,0.25,0.7287750891693667,1.3616663077952447,1.6685297495256652,2.666276551179874,5.836731028857144e-17,2.220446049250313e-16,0.46028429965812967,1.0739481697350786,1.1533646712773256
flattop,Flat-top,32,75% overlap,0.5,0.352312996771747,1.610520636569578,1.8347055338625917,3.7298932120403485,5.939799563616936e-17,2.220446049250313e-16,0.21807214620733614,1.2702199357234565,1.6134586851093022
flattop,Flat-top,32,75% overlap,0.75,0.13881830043467652,1.9561474124417924,2.0824022620223372,5.502587646807806,6.202907526029294e-17,2.220446049250313e-16,0.08071167567287439,1.542816269520104,2.38028204149593
flattop,Flat-top,32,75% overlap,1.0,0.013370894630156536,2.3563410340915123,2.386368764403643,7.984359855482247,5.751234622032757e-17,2.220446049250313e-16,0.0,1.858449552836237,3.4538347404372094
