beta,coarse_fft,fine_fft,enbw_bins,scalloping_loss_db,coarse_peak_sidelobe_db,fine_peak_sidelobe_db,peak_sidelobe_delta_db,peak_sidelobe_error_db,coarse_main_lobe_width_bins,fine_main_lobe_width_bins,main_lobe_width_delta_bins,main_lobe_width_error_bins
0.0,512,4096,1.0,3.922182893250383,-13.536342927901169,-13.2670925532188,-0.26925037468236823,0.26925037468236823,2.015625,2.015625,0.0,0.0
0.5,512,4096,1.0003417318261332,3.845019559181808,-13.846421706883001,-13.628233463222161,-0.21818824366084044,0.21818824366084044,2.015625,2.015625,0.0,0.0
1.0,512,4096,1.0047849351743339,3.636741132082232,-14.77841316149056,-14.694915049665516,-0.08349811182504396,0.08349811182504396,2.015625,2.07861328125,-0.06298828125,0.06298828125
1.5,512,4096,1.0197886705889982,3.350921809087379,-16.358632987482476,-16.358632987482476,0.0,0.0,2.015625,2.20458984375,-0.18896484375,0.18896484375
2.0,512,4096,1.048758682756401,3.041327915067586,-18.705324966581394,-18.533894121299273,-0.17143084528212071,0.17143084528212071,2.51953125,2.3935546875,0.1259765625,0.1259765625
2.5,512,4096,1.090405121845899,2.744071489646128,-21.893973868405485,-21.097055869193028,-0.7969179992124573,0.7969179992124573,2.51953125,2.58251953125,-0.06298828125,0.06298828125
3.0,512,4096,1.140916648066546,2.4764902977656265,-24.035745850978252,-23.956235204809644,-0.07951064616860748,0.07951064616860748,3.0234375,2.771484375,0.251953125,0.251953125
3.5,512,4096,1.1963655459574825,2.2433713844717724,-27.291346548355335,-27.028395407522225,-0.2629511408331098,0.2629511408331098,3.0234375,3.0234375,0.0,0.0
4.0,512,4096,1.2538165653385416,2.043128239076947,-30.80344376273718,-30.255262340667993,-0.5481814220691881,0.5481814220691881,3.52734375,3.275390625,0.251953125,0.251953125
4.5,512,4096,1.3114364313033648,1.871724119575851,-33.63208834080549,-33.580537335090725,-0.051551005714763676,0.051551005714763676,3.52734375,3.52734375,0.0,0.0
5.0,512,4096,1.3682198401392107,1.7246566161257892,-38.00243656579236,-36.98917809839912,-1.0132584673932357,1.0132584673932357,4.03125,3.779296875,0.251953125,0.251953125
5.5,512,4096,1.4236831217209407,1.5977881968919467,-40.43216507088321,-40.43216507088321,0.0,0.0,4.03125,4.09423828125,-0.06298828125,0.06298828125
6.0,512,4096,1.477638281046188,1.487604061576754,-45.18420957127344,-43.91911442014171,-1.2650951511317317,1.2650951511317317,4.53515625,4.34619140625,0.18896484375,0.18896484375
6.5,512,4096,1.530052266777739,1.3912227197434661,-47.467450837768475,-47.43972613512416,-0.02772470264431348,0.02772470264431348,4.53515625,4.6611328125,-0.1259765625,0.1259765625
7.0,512,4096,1.5809671598096966,1.3063174269677658,-52.27062898510663,-51.008617516132176,-1.2620114689744568,1.2620114689744568,5.0390625,4.9130859375,0.1259765625,0.1259765625
7.5,512,4096,1.6304576123655043,1.2310176666740833,-59.865186498597126,-54.65949218686225,-5.205694311734874,5.205694311734874,6.55078125,5.22802734375,1.32275390625,1.32275390625
8.0,512,4096,1.6786092357553657,1.1638174387356637,-59.359479033682454,-58.43182083471426,-0.9276581989681958,0.9276581989681958,5.54296875,5.54296875,0.0,0.0
8.5,512,4096,1.725508173115184,1.1034984360018445,-67.48225298914889,-62.21184261367141,-5.270410375477482,5.270410375477482,7.0546875,5.794921875,1.259765625,1.259765625
8.6,512,4096,1.7347449537420028,1.0921696844370425,-67.9167077605534,-62.991016472979105,-4.925691287574288,4.925691287574288,7.0546875,5.85791015625,1.19677734375,1.19677734375
9.0,512,4096,1.7712364279254313,1.0490686679281467,-66.58364126348698,-66.14981755416139,-0.4338237093255941,0.4338237093255941,6.046875,6.10986328125,-0.06298828125,0.06298828125
9.5,512,4096,1.8158700614484315,0.9997144982867028,-75.34606938052248,-70.08123517597784,-5.264834204544641,5.264834204544641,7.55859375,6.4248046875,1.1337890625,1.1337890625
10.0,512,4096,1.859478769051241,0.9547635091221024,-78.27614701086587,-74.1351629021007,-4.140984108765167,4.140984108765167,7.55859375,6.73974609375,0.81884765625,0.81884765625
10.5,512,4096,1.9021260836619451,0.9136558047287942,-81.44975043040121,-78.1619365100702,-3.287813920331004,3.287813920331004,7.0546875,7.0546875,0.0,0.0
11.0,512,4096,1.9438698353158022,0.875921788289435,-86.33583508759331,-82.17014548207594,-4.165689605517372,4.165689605517372,8.0625,7.36962890625,0.69287109375,0.69287109375
11.5,512,4096,1.9847626887038368,0.8411648699314016,-91.57840521021173,-86.19205899715976,-5.386346213051965,5.386346213051965,8.56640625,7.6845703125,0.8818359375,0.8818359375
12.0,512,4096,2.0248526770159043,0.8090479288060631,-94.7599878270309,-90.20888012701658,-4.551107700014313,4.551107700014313,8.56640625,7.9365234375,0.6298828125,0.6298828125
12.5,512,4096,2.0641836977335437,0.7792826404185595,-99.57465822007086,-94.09898404439915,-5.475674175671713,5.475674175671713,9.0703125,8.25146484375,0.81884765625,0.81884765625
13.0,512,4096,2.102795958763504,0.7516210012637282,-103.02913588432347,-97.96667226601772,-5.062463618305742,5.062463618305742,8.56640625,8.56640625,0.0,0.0
13.5,512,4096,2.140726373788304,0.7258485487176959,-107.29640097465733,-101.86164390586947,-5.43475706878786,5.43475706878786,9.57421875,8.88134765625,0.69287109375,0.69287109375
14.0,512,4096,2.178008910183797,0.7017788977003993,-115.08580914581343,-105.80623858035416,-9.279570565459267,9.279570565459267,11.0859375,9.1962890625,1.8896484375,1.8896484375
