name,length,hop,overlap_fraction,raw_max_deviation_pct,squared_max_deviation_pct,squared_min_sum,squared_max_sum,synthesis_gain_span_db
rectangular,128,64,0.5,0.0,0.0,2.0,2.0,0.0
hann,128,64,0.5,0.7719839875569398,34.418590258810724,0.48801791233189673,0.9996940806533241,6.228627156814346
hamming,128,64,0.5,0.6568497604584406,27.571305302059955,0.5712383248925252,1.0061185524788008,4.916636407231603
blackman,128,64,0.5,19.954902668008405,65.35922726523214,0.2233330677873699,0.9994983467771394,13.016580970184002
kaiser-8.6,128,64,0.5,19.925645509995277,65.24652245757106,0.22385208723808953,0.9995007248176582,12.996439304314462
blackman-harris,128,64,0.5,40.4287061231665,95.21372644432824,0.09020017243489972,0.9992913206325494,20.88969495145699
nuttall,128,64,0.5,38.60466361384722,92.77920216616897,0.09840524290512621,0.9993080726082904,20.133623160820374
flattop,128,64,0.5,133.49418840509674,187.18313967436467,0.004974734235968117,0.9985392341713729,46.05190498322148
rectangular,128,32,0.75,0.0,0.0,4.0,4.0,0.0
hann,128,32,0.75,0.1566061309944189,0.038249290231873616,1.487711992985221,1.488797226047607,0.006333738171461491
hamming,128,32,0.75,0.13324978404738974,0.011333292546769944,1.5772424483406,1.5775600192316406,0.0017486899731499622
blackman,128,32,0.75,0.045260176007976154,1.1543466311874633,1.194926570015568,1.2228314145645094,0.2005073831653953
kaiser-8.6,128,32,0.75,0.04574941735970543,1.1279169342095097,1.196064125511182,1.2233528120557478,0.19594520317493677
blackman-harris,128,32,0.75,0.005347141240412693,6.417278404741506,0.9580924779690982,1.0894914930674495,1.1163282607841256
nuttall,128,32,0.75,0.007820804137507173,5.88142333764565,0.9757634888438032,1.0977133155134167,1.0228873739421285
flattop,128,32,0.75,3.5709042597554337,44.5110689607531,0.38610924602936214,1.0049334532171894,8.308542040713618
rectangular,128,16,0.875,0.0,0.0,8.0,8.0,0.0
hann,128,16,0.875,0.034148170760056565,0.0017900167449177275,2.976509219032827,2.97661010267259,0.00029438824051689847
hamming,128,16,0.875,0.029055288898966154,0.004894080076258973,3.1546823865028015,3.154916896602966,0.0006456602895308051
blackman,128,16,0.875,0.013612063614379348,0.00018676027616313843,2.417757984580078,2.4177663534083065,3.006528902042422e-05
kaiser-8.6,128,16,0.875,0.03335364240133761,1.366161637677898e-05,2.4194169375669294,2.4194174093106278,1.6935953616821489e-06
blackman-harris,128,16,0.875,0.001719282353695063,7.770331659173573e-06,2.047583971036547,2.0475842819887875,1.319065140181334e-06
nuttall,128,16,0.875,0.0026289627118358666,6.5223421810252744e-06,2.0734768043572194,2.073477069222879,1.109534352108626e-06
flattop,128,16,0.875,0.005752733562813423,0.01710401550604488,1.390566935112728,1.391042699246552,0.002971254304988245
